Thread_No,Thread_Name,R,G,B
15898,BURMA CREAM,248,236,240
18896,FROSTED BEIGE,250,235,242
19868,ANTIQUE BEIGE,248,231,241
17806,SOFT BEIGE,251,237,247
16396,SAND STORM,246,234,240
16399,SUMMER BROWN,246,236,241
17699,SANDY BROWN,249,232,242
17779,ANDAMAN BROWN,250,235,242
16441,WILDCAT BROWN,249,235,244
14758,INCA BROWN,247,233,239
14757,PALE COCOA,254,241,248
13984,DARK ROAST,247,233,240
14519,WINTER BROWN,253,238,245
14769,FULL BROWN,250,233,240
17708,ISLAND SAND,251,238,245
